owner_name,owner_monthly,owner_push_size,owner_push_distinct_size,owner_push_ct,owner_fork_ct,owner_watch_ct,owner_commitcomment_ct,owner_issuecomment_ct,owner_issueopen_ct,owner_issueclose_ct,owner_pullopen_ct,owner_pullopen_comment_ct,owner_pullopen_review_ct,owner_pullopen_commit_ct,owner_pullopen_add_ct,owner_pullopen_delete_ct,owner_pullopen_changefile_ct,owner_pullclose_ct,owner_pullclose_comment_ct,owner_pullclose_review_ct,owner_pullclose_commit_ct,owner_pullclose_add_ct,owner_pullclose_delete_ct,owner_pullclose_changefile_ct,owner_pushactor_actor_ct,owner_pullactor_actor_ct,repo_owner_name,repo_monthly,repo_ct
spriedw,2017-03,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,spriedw,2017-03,1
Jpeach17L,2017-02,2,2,2,,,,,,,,,,,,,,,,,,,,,2,,Jpeach17L,2017-02,2
yariza,2017-02,1,1,1,2,,,,,,,,,,,,,,,,,,,,1,,yariza,2017-02,1
TheArowanaDude,2017-07,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
xjapanseikima,2017-06,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,xjapanseikima,2017-06,2
GurChemel,2017-01,9,9,8,,,,,,,,,,,,,,,,,,,,,2,,GurChemel,2017-01,1
scottccoates,2017-07,22,22,19,,,,,,,,,,,,,,,,,,,,,1,,scottccoates,2017-07,1
ccldaout,2017-01,54,26,34,,,,,,,,,,,,,,,,,,,,,,,,,
bluemner,2017-10,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,
5E1EMENT,2017-11,58,58,58,1,,,,,,,,,,,,,,,,,,,,,,,,
fabiodesousa,2017-10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
simsir-lin,2017-01,18,18,18,,,,,,,,,,,,,,,,,,,,,3,,simsir-lin,2017-01,3
linpaul2004,2017-03,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,linpaul2004,2017-03,1
tomandersonweb,2017-11,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,tomandersonweb,2017-11,1
runya-v,2017-06,19,11,10,,,,,,,,,,,,,,,,,,,,,,,,,
Otaekek,2017-03,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,
ctariel,2017-05,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
v0rt3xProject,2017-10,1,1,1,3,,,,,,1,0,0,1,462,0,12,1,0,0,1,59,81,30,1,1,v0rt3xProject,2017-10,1
unilot,2017-11,124,79,78,,,,,,,41,0,0,46,1940,672,122,42,0,0,47,1942,674,123,,,unilot,2017-11,2
