"sale","emp","RandD","lt","at","ch","ebit","ni","ppegt","xad","xopr","xrd"
0,0.004,NA,4.209,20.534,NA,-5.384,-14.268,0.128,NA,4.778,NA
0,0.004,NA,2.602,18.712,NA,-3.506,-0.109,0.171,NA,3.473,NA
7.144,0.065,NA,17.436,30.916,0.376,-3.857,-2.982,3.284,NA,10.279,NA
11.343,0.065,NA,17.512,28.089,0.471,-2.951,-3.164,3.456,NA,12.964,NA
66.971,NA,NA,228.297,364.752,13.906,2.613,-5.169,348.954,NA,58.65,NA
93.677,0.457,NA,184.197,395.512,21.18,4.404,-7.655,381.316,NA,78.594,NA
108.027,NA,NA,196.114,593.807,152.934,8.347,4.023,451.56,NA,86.682,NA
126.82,NA,NA,90.003,631.756,110.365,-10.641,-7.462,509.009,NA,119.957,NA
188.049,0.61,NA,247.938,718.164,33.005,56.198,47.879,568.119,NA,110.088,NA
1426.886,5.6,1.064711,1390.068,1572.659,29.244,17.874,-9.377,443.297,13.2,1382.841,2.9
1548.314,4.7,-0.6931472,1430.575,1599.905,8.306,20.928,-8.927,448.803,11.8,1500.49,0.5
899.934,4.2,-1.203973,1510.258,1574.36,0,3.057,-98.247,306.046,9.2,876.069,0.3
5467.1,17.5,4.823502,5333.7,8270.5,94.1,833.6,124.2,10310.9,NA,4039.9,124.4
5717.2,17.8,4.808111,4860.3,8084.1,66.2,801.5,465.6,10226.5,NA,4323.3,122.5
5401.2,17.2,4.79248,4850.2,8495,253.7,761.9,525.4,10879.8,NA,4058.3,120.6
6297.3,18.5,4.796617,5461.3,9431.9,76.2,720.2,397.3,11723.2,NA,4936.9,121.1
7411.4,19.9,4.841822,5427.5,10040.4,146.3,838.1,604.1,12201.5,NA,5858.4,126.7
70.246,0.472,NA,18.363,28.533,0.098,2.517,1.289,7.625,NA,66.903,NA
70.958,0.379,NA,11.803,22.903,0.032,2.375,1.278,8.539,NA,67.917,NA
42.872,0.367,NA,11.717,21.328,0.08,0.464,-1.224,7.092,NA,41.83,NA
55.997,0.396,NA,7.897,19.574,0.459,3.402,1.738,8.377,NA,52.037,NA
69.999,0.414,NA,11.023,24.109,3.498,3.468,2.106,8.597,NA,65.897,NA
3275.95,24.1,NA,883.064,1745.919,40.39,42.618,28.492,2620.241,NA,3026.926,NA
3211.089,22.5,NA,912.628,1746.844,201.5,-22.431,-19.458,2654.599,NA,3025.165,NA
3343.736,22.5,NA,1039.923,1879.086,339.9,63.987,14.843,2677.134,NA,3091.393,NA
366.161,1.195,NA,272.011,471.282,0.866,49.063,26.322,709.004,NA,288.39,NA
553.862,1.266,NA,308.35,517.739,1.555,50.288,26.015,758.374,NA,472.641,NA
424.431,1.259,NA,385.853,603.209,2.818,59.37,27.564,825.421,NA,331.379,NA
489.099,1.232,NA,547.32,797.693,1.44,66.848,33.017,883.225,NA,385.08,NA
526.74,1.196,NA,581.728,839.747,3.467,66.199,33.79,941.862,NA,420.66,NA
3667.461,6.871,NA,6865.824,10379.108,14.247,941.425,436.072,13270.599,NA,2361.418,NA
3586.39,6.706,NA,6789.912,10418.301,35.756,910.692,402.253,13606.243,NA,2292.225,NA
3710.533,6.715,NA,7060.754,10686.006,22.685,1022.161,475.794,14087.91,NA,2289.944,NA
3960.161,6.73,NA,8197.452,12070.624,42.752,1014.9,491.077,14639.044,NA,2532.342,NA
4235.991,6.745,NA,8708.208,12783.459,84.461,1020.483,504.768,15200.4,NA,2789.602,NA
2.829,0.05,NA,2.463,11.434,0.177,-1.785,-1.354,0.93,NA,4.2,NA
9.135,0.054,NA,3.112,9.781,0.081,-3.039,-2.995,0.911,NA,11.757,NA
5.368,0.036,-1.89712,3.318,9.862,0.328,-2.243,-6.011,1.029,0.289,7.331,0.15
7.418,0.037,-1.203973,3.806,10.319,0.098,-2.489,-2.602,1.057,0.141,9.495,0.3
4.911,0.044,-1.290984,2.119,11.586,1.976,-3.069,-3.176,0.897,0.17,7.637,0.275
2177.2,14.996,NA,1767.7,2630,101.1,3.4,-70.3,2327.4,19.7,2003,NA
2152.8,15.063,NA,2099.2,2950.5,490.8,-111.4,-43.4,2519.8,17.1,2056.4,NA
2224.1,14.943,NA,2225,2880.7,269,-88.8,-118.6,2590.8,17,2118.2,NA
2444.8,14.738,NA,2585,3259.2,192.9,-8.9,13.5,2869.9,16.7,2251.5,NA
2723.8,14.584,NA,2670.2,3335,54.3,7.1,-15.3,2833.2,16.7,2511.5,NA
51.447,0.441,0.7197891,19.676,63.69,0.159,4.246,2.792,37.295,NA,43.082,2.054
57.605,0.443,0.6476266,25.112,64.287,0.542,5.82,9.754,39.866,NA,47.216,1.911
59.533,0.42,0.7793249,19.116,60.807,0.353,5.782,2.589,42.661,NA,49.367,2.18
62.803,0.427,0.7636057,15.446,60.05,0.298,6.923,5.057,45.767,NA,51.134,2.146
66.081,0.456,0.8645763,16.805,67.408,0.255,8.596,6.47,50.402,NA,52.693,2.374
5300.3,NA,NA,7173.7,12415.4,44.6,1703.3,950.6,14874.8,NA,2749.8,NA
6312.3,NA,NA,8140.9,14097.5,104.4,1433.4,823.8,17125.3,NA,3627.3,NA
2247.163,15.3,NA,753.338,1389.819,114.637,164.233,103.184,451.428,NA,2046.355,NA
2494.18,16.1,2.208274,780.492,1516.501,201.97,189.066,110.376,471.857,NA,2267.799,9.1
2650.976,16.9,2.282382,867.032,1729.491,217.485,234.428,137.665,519.019,NA,2373.133,9.8
2891.417,17,2.388763,883.48,1945.609,370.148,273.791,162.153,576.865,NA,2571.835,10.9
3257.996,18.3,2.459589,745.074,2058.78,193.189,236.512,141.77,631.791,NA,2973.901,11.7
36762,235,NA,10384,16078,57,1833,765,15248,550,33928,0
37931,220,NA,10052,15967,85,1787,501,15035,537,35118,0
35626,202,NA,10014,15211,162,1789,485,15187,527,32871,0
35436,212,NA,10013,15394,289,1272,556,15990,472,33195,0
39897,241,NA,12890,18311,273,1518,444,18130,579,37278,0
9148,53,4.394449,9136,18407,261,988,618,16786,NA,7599,81
12626,52,4.905275,8556,17479,119,1052,5,16838,NA,10681,135
12327,50,4.744932,8763,17538,110,1056,374,18371,NA,10436,115
13640,49,4.941642,20718,31957,803,1029,167,24136,NA,11688,140
24885,82,5.476463,22379,33341,184,1494,258,22738,NA,22054,239
17.958,0.046,0.5838902,2.802,19.003,0.839,2.213,1.538,13.107,0.159,13.806,1.793
21.989,0.035,0.9707789,3.491,21.865,2.848,2.588,1.781,18.465,0.189,16.659,2.64
21.924,0.05,0.7691818,1.877,21.369,2.287,1.735,1.13,20.798,0.208,16.516,2.158
5446.945,39.6,NA,4921.493,6362.585,78.118,403.783,29.082,752.256,NA,4848.068,NA
5273.479,37.6,NA,4895.414,6290.992,80.351,200.751,15.205,687.924,NA,4894.16,NA
4827.502,33.2,NA,4937.672,6472.618,271.816,283.092,150.334,701.613,5.29,4413.363,NA
4710.912,30.25,NA,5004.055,6639.507,360.03,254.593,116.017,673.96,4.18,4343.861,NA
