appyear,classId,patent,nonutility,n_claims,n_bcites,n_fcites,n_nplcites,complexity,originality,generality
2000,438,"6169037",0,8,27,1,1,6.367473,.4416,.4881657
2000,558,"6169198",0,23,1,7,6,6.163633,0,0
2000,562,"6169202",0,17,18,13,28,5.175412,.2037037,.2037037
2000,564,"6169206",0,10,1,1,0,5.847353,0,0
2000,219,"6169272",0,17,6,3,0,6.097446,.625,.2571166
2000,315,"6169371",0,43,10,9,1,5.35112,.5,.3026779
2000,320,"6169388",0,7,5,0,0,5.707982,0,.42
2000,323,"6169393",0,18,11,9,0,5.923758,.1652892,0
2000,327,"6169431",0,10,4,7,0,5.844503,0,.3199999
2000,330,"6169454",0,9,7,3,0,5.945277,0,.2777778
2000,340,"6169490",0,7,3,1,0,5.289317,.4444444,.5983379
2000,359,"6169632",0,1,1,14,0,5.613986,0,.3798392
2000,361,"6169659",0,27,5,11,0,6.254835,.64,.0739646
2000,363,"6169669",0,8,7,30,0,5.166507,.4897959,.2777778
2000,363,"6169670",0,10,9,5,0,5.463676,0,.1449704
2000,363,"6169671",0,21,2,7,0,5.342179,0,0
2000,363,"6169678",0,12,7,10,0,5.520175,0,.0867769
2000,363,"6169679",0,12,7,5,0,5.463349,0,.099723
2000,363,"6169680",0,23,6,16,2,4.815921,0,.4377778
2000,365,"6169684",0,6,5,9,1,4.690639,0,0
2000,399,"6169867",0,46,9,4,0,5.110238,0,.4938271
2000,399,"6169869",0,13,9,10,0,5.277244,.4938271,0
2000,399,"6169870",0,22,5,1,0,6.10619,0,.1171875
2000,15,"6170110",0,3,10,2,0,5.446401,0,.1800001
2000,123,"6170459",0,12,9,7,0,5.431054,.1975309,.255102
2000,123,"6170461",0,13,7,8,0,5.332101,0,.1171875
2000,123,"6170468",0,12,7,3,0,5.535301,.244898,.375
2000,134,"6170494",0,4,14,7,0,6.53698,.6982248,.3553876
2000,137,"6170527",0,3,8,2,0,5.259784,.53125,.532872
2000,180,"6170590",0,17,13,11,0,5.372309,0,.4338843
2000,181,"6170601",0,13,7,1,0,5.706243,.4081632,.21875
2000,222,"6170720",0,8,42,5,0,5.062119,.0570935,.4499999
2000,229,"6170740",0,7,19,5,0,4.996383,0,0
2000,235,"6170752",0,2,23,0,0,5.552307,.5804988,.2145329
2000,439,"6171114",0,12,11,4,0,5.161218,0,.65625
2000,439,"6171115",0,5,21,45,0,5.520355,.099723,.0376486
2000,439,"6171138",0,44,3,57,0,5.586509,.4444444,.5833334
2000,426,"6171638",0,62,3,13,0,5.804386,0,.635
2000,427,"6171647",0,14,22,21,0,7.417863,.6776859,.6404958
2000,428,"6171712",0,20,10,3,2,6.173883,.4489796,.6115702
2000,430,"6171741",0,17,16,6,0,6.559082,0,.095
2000,438,"6171952",0,35,21,13,0,6.666709,.553288,.1669136
2000,502,"6172000",0,9,7,8,0,6.529743,0,0
2000,510,"6172022",0,5,4,0,0,6.106248,0,0
2000,510,"6172023",0,11,3,0,0,6.113214,0,0
2000,510,"6172024",0,6,4,1,0,6.171777,0,.375
2000,514,"6172080",0,24,5,0,9,5.759998,0,.0798612
2000,514,"6172083",0,20,1,2,0,6.424857,0,.2777778
2000,521,"6172128",0,20,2,20,0,5.8483,0,0
2000,548,"6172236",0,4,1,0,0,13.36439,0,.4834711
2000,250,"6172360",0,20,8,17,0,5.762506,0,.4628099
2000,257,"6172420",0,15,8,1,5,5.983553,.21875,.3140496
2000,310,"6172434",0,7,2,6,0,5.766407,0,.0739646
2000,320,"6172478",0,35,3,16,0,5.242499,.4444444,.6427515
2000,323,"6172495",0,16,8,3,0,6.180629,0,.1504
2000,359,"6172790",0,3,6,2,0,5.599069,.6111111,.556213
2000,360,"6172835",0,6,4,2,0,6.906662,0,0
2000,360,"6172858",0,15,17,8,3,6.63555,.4913495,.2659279
2000,365,"6172894",0,20,3,4,0,3.846413,0,0
2000,365,"6172898",0,28,7,9,0,6.630255,.4081632,.4489796
2000,365,"6172904",0,26,5,30,0,5.615674,0,.2121402
2000,365,"6172905",0,3,6,22,2,6.033458,.2777778,.5903741
2000,365,"6172906",0,21,36,54,4,4.558885,.0540124,.0233218
2000,365,"6172916",0,10,8,15,0,5.028731,0,.0644445
2000,365,"6172920",0,10,2,1,0,5.635312,0,.1800001
2000,365,"6172923",0,4,1,1,0,5.276816,0,0
2000,365,"6172924",0,75,16,2,0,5.391444,.46875,.4444444
2000,365,"6172927",0,38,10,56,0,5.241489,.1800001,0
2000,375,"6173012",0,23,3,10,0,13.1441,0,.0739646
2000,385,"6173091",0,4,17,15,0,5.403419,.1107266,.4921875
2000,399,"6173151",0,16,9,3,0,5.787368,.1975309,.6652892
2000,340,"6173158",0,4,5,0,1,5.839899,.3199999,.0291907
2000,710,"6173348",0,19,4,8,5,4.937561,0,.341263
2000,137,"6173745",0,3,7,3,0,5.259784,.4081632,.255102
2000,206,"6173838",0,10,10,20,0,6.292692,0,.0587695
